B	M	6.7	16.1
B	M	7.7	18.1
B	M	7.8	19
B	M	7.9	20.1
B	M	8	20.3
B	M	9	23
B	M	9.9	23.8
B	M	9.1	24.5
B	M	9.6	24.2
B	M	10.5	25.2
B	M	10.8	27.3
B	M	11	26.8
B	M	10	27.7
B	M	10.2	27.2
B	M	10.9	27.4
B	M	11	26.8
B	M	10.6	28.2
B	M	10.9	28.3
B	M	11.1	27.8
B	M	11.1	29.2
B	M	11.6	31.3
B	M	11.3	31.9
B	M	10.9	31.4
B	M	11.5	32.4
B	M	11.9	32.5
B	M	12.1	32.3
B	M	11.8	33
B	M	12.6	35.8
B	M	12.7	34
B	M	11.6	33.8
B	M	12.8	34.9
B	M	13.3	36
B	M	12.7	35.6
B	M	13	35.7
B	M	13.5	38.1
B	M	12.8	36.2
B	M	13.2	37.3
B	M	12.6	36.4
B	M	12.7	36.7
B	M	13.5	37.6
B	M	13.6	38.7
B	M	14.1	39.7
B	M	13.7	39.2
B	M	15.8	42.1
B	M	13.5	41.6
B	M	13.8	40.9
B	M	15.3	41.9
B	M	14.2	43.2
B	M	14.3	42.4
B	M	15.7	47.1
B	F	6.5	14.7
B	F	8.5	19.3
B	F	8.1	18.5
B	F	8.2	19.2
B	F	8.2	19.6
B	F	8.9	20.4
B	F	9.3	20.9
B	F	9.5	21.3
B	F	9.7	21.7
B	F	9.5	22.5
B	F	9.8	22.5
B	F	10	22.8
B	F	11	24.7
B	F	11	24.6
B	F	11.4	23.7
B	F	10.6	24.9
B	F	11.4	26
B	F	10.7	24.6
B	F	11.1	25.4
B	F	12.2	26.1
B	F	11.7	27.1
B	F	12.2	26.7
B	F	12.2	27.9
B	F	11.4	27.3
B	F	11.5	27.6
B	F	12.2	27.9
B	F	11.8	28.4
B	F	12.5	28.6
B	F	13	30
B	F	12.5	30.1
B	F	13.2	30.1
B	F	13.8	31.7
B	F	14.2	32.8
B	F	13.3	31.8
B	F	13.5	31.9
B	F	13.8	31.7
B	F	14.3	33.9
B	F	14.2	32.6
B	F	13.3	32.4
B	F	13.8	33.4
B	F	13.9	32.8
B	F	14.7	33.9
B	F	13.9	33.6
B	F	15	34.5
B	F	15.2	34.5
B	F	14	34.2
B	F	16.1	36.6
B	F	16.9	38.2
B	F	16.7	38.6
B	F	16.5	40.9
O	M	6.9	16.7
O	M	8.2	20.2
O	M	8.6	20.7
O	M	9	22.7
O	M	9.4	23.2
O	M	9.4	24.2
O	M	10.4	26
O	M	11	27.1
O	M	10.1	26.6
O	M	11	27.5
O	M	11.5	29.2
O	M	10.4	28.9
O	M	10.5	29.1
O	M	10.7	28.7
O	M	10.6	28.7
O	M	10.7	27.8
O	M	11.3	29.2
O	M	11.3	29.9
O	M	11.1	29
O	M	11.4	30.2
O	M	11.5	30.9
O	M	11.1	30.2
O	M	12.2	31.7
O	M	11.8	32.3
O	M	11.6	31.6
O	M	12.6	35
O	M	12.8	36.1
O	M	12	34.4
O	M	12.7	34.6
O	M	12.5	36
O	M	12.9	36.9
O	M	13.4	36.7
O	M	13.7	38.8
O	M	13.4	37.9
O	M	13.4	37.8
O	M	13.5	36.9
O	M	13.4	37.2
O	M	13.8	39.2
O	M	14.1	39.1
O	M	14.4	39.8
O	M	13.7	40.6
O	M	14.4	42.8
O	M	15	42.9
O	M	15.5	45.5
O	M	15.4	45.7
O	M	14.8	43.4
O	M	15.7	45.4
O	M	15.8	44.6
O	M	16.8	47.2
O	M	15.7	47.6
O	F	9.7	21.4
O	F	9.2	21.7
O	F	10	24.1
O	F	11.5	25
O	F	11.2	25.8
O	F	11.9	27
O	F	12.8	28.8
O	F	12.2	28.1
O	F	13.2	29.6
O	F	13	30
O	F	12.3	30.1
O	F	13.5	31.2
O	F	14	31.6
O	F	14.1	31
O	F	13.6	31
O	F	13.6	31.6
O	F	13.7	31.4
O	F	14	31.6
O	F	14.3	32.3
O	F	14.5	33.1
O	F	14.3	34.5
O	F	14.4	34.5
O	F	14.7	33.3
O	F	14	34
O	F	14.9	34.7
O	F	16.3	37.9
O	F	15.7	35.1
O	F	15.5	35.6
O	F	15.7	36.5
O	F	14.6	37
O	F	14.5	34.7
O	F	15.2	35.8
O	F	16.7	36.3
O	F	16	37.8
O	F	16.3	37.9
O	F	16.7	39.9
O	F	16.6	39.4
O	F	17.9	40.1
O	F	16.7	40.4
O	F	17.2	39.8
O	F	16	39.4
O	F	17.5	40
O	F	17.5	41.5
O	F	16.5	39.9
O	F	18.4	43.8
O	F	18	41.2
O	F	17.1	41.7
O	F	17.2	42.6
O	F	17.2	43
O	F	20.2	46.2
